c,first,second,third,avg
0.1,1,507,492,2.491
0.5,1,488,511,2.51
1.0,0,515,485,2.485
1.5,0,499,501,2.501
2.0,0,495,505,2.505
4.0,0,484,516,2.516
8.0,0,485,515,2.515
16.0,0,490,510,2.51
