game_id,config,seat_0_agent,seat_1_agent,seat_2_agent,seat_3_agent,placement_1,placement_2,placement_3,placement_4
2290,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF,PUCT,History,Neural_MLP_SELF,Neural_MLP
2291,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,History
2292,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,History,Neural_MLP_SELF,Neural_MLP
2293,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP,History,PUCT
2294,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,History,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,Neural_MLP,History
2295,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,History
2296,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT
2297,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP,Neural_MLP_SELF,History,PUCT
2299,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,History,Neural_MLP_SELF,Neural_MLP,PUCT
2298,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP
2301,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP
2302,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History
2300,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT
2303,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP_SELF,Neural_MLP,PUCT,History
2305,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP_SELF,PUCT,Neural_MLP
2304,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP
2306,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,Neural_MLP,PUCT,Neural_MLP_SELF,History
2307,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP_SELF,History,Neural_MLP
2310,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,Neural_MLP
2308,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP,PUCT,History
2309,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,Neural_MLP,PUCT,History
2311,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT
2314,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,Neural_MLP_SELF,Neural_MLP,History,PUCT
2313,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,Neural_MLP
2312,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,PUCT,History,Neural_MLP,Neural_MLP_SELF
2315,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,History
2316,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP_SELF,History,Neural_MLP,PUCT
2318,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP,Neural_MLP_SELF
2317,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP,Neural_MLP_SELF,Neural_MLP_SELF,History,PUCT,Neural_MLP
2319,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT
2320,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP_SELF,Neural_MLP,History,Neural_MLP,PUCT,History,Neural_MLP_SELF
2321,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,History,Neural_MLP_SELF,Neural_MLP,PUCT
2322,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT
2326,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,PUCT,Neural_MLP_SELF,Neural_MLP,History
2323,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT
2325,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,History,Neural_MLP,Neural_MLP_SELF,PUCT
2324,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,Neural_MLP,History,Neural_MLP,History,Neural_MLP_SELF,PUCT
2327,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT
2328,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP,History,PUCT
