agent         , first, second, third, games, win_rate, mean_placement, avg_move_time
ISMCTS-History,   529,    305,   166,  1000,    0.529,          1.637, 5.61930912226682
ISMCTS-PUCT   ,   471,    329,   200,  1000,    0.471,          1.729, 5.379957720466582
