agent           , first, second, third, games, win_rate, mean_placement, avg_move_time
ISMCTS-Basic    ,   495,    305,   200,  1000,    0.495,          1.705, 4.8183285520667
ISMCTS-Heuristic,   505,    324,   171,  1000,    0.505,          1.666, 4.568909086200008
