game_id, config, placement_1     , placement_2     , placement_3
     67, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     69, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     70, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     71, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     73, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     72, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     75, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     76, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     74, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     77, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     78, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     79, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     80, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     81, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     83, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     82, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     85, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     84, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     87, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     86, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     88, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     90, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     91, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     89, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     92, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     95, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     94, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     93, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     96, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     97, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     98, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    100, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     99, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    101, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    102, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    103, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    105, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    104, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    107, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    106, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    108, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    110, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    109, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    112, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    111, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    114, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    113, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    115, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    116, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    117, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    118, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    119, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
